Date,Link,OptionText
2025-06-12 18:04:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:7336479957583368195,Kalman Filtering
2025-06-06 18:53:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7336411935048953859,Vision systems & sensors
2025-06-06 12:15:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7336474474235449344,A* algorithm
2025-06-06 12:12:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:7336472421501132800,Python
2025-05-09 18:29:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:7326516634699845635,7-8 hours
2025-05-09 15:00:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7326578677951971329,Documented robotics projects
2025-04-12 16:19:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7316778985827307520,India
2024-06-14 08:34:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7207268983278841856,Robotics/ CV/ ML Researcher
2024-06-09 06:09:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7205428033720127489,"Yes, I would invest"
2024-06-05 08:52:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:7202619229592834048,Step-by-step project tutorials
2024-03-12 11:32:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:7173231107855765505,💰 Reducing cost
2024-03-12 02:02:11,https://www.linkedin.com/feed/update/urn:li:groupPost:3746827-7173130617927225344,OpenAI GPT-4
2024-03-09 20:45:38,https://www.linkedin.com/feed/update/urn:li:groupPost:13927028-7172329556261892097,yes🦊
2024-02-28 08:04:26,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7168477821101711360,Sequence query language
2024-02-28 08:01:32,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7168478744247054336,1996
2024-02-28 07:03:33,https://www.linkedin.com/feed/update/urn:li:groupPost:7037632-7168227625079975937,Supervised Learning
2024-02-24 14:23:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7164636688181374976,Less than 10 days
2024-02-23 23:53:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:7162546935055249409,India
2024-02-23 23:48:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7166486702583132160,Data privacy
2024-02-23 23:47:49,https://www.linkedin.com/feed/update/urn:li:groupPost:7037632-7166685688019599360,Artificial Intelligence
2024-02-23 23:39:27,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166847612711624704,Deterministic
2024-02-23 16:04:56,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166740493173821440,Python
2024-02-23 13:37:04,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7166725684260790272,No
2023-11-25 02:31:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:7133708247810662400,0 -1 years
